timestamp,equipment_id,equipment_type,vibration_rms,vibration_peak,kurtosis,crest_factor,current_a,bearing_temp,pressure_out,flow_rate,rpm,degradation,fault_type,failure_flag
2025-01-01 00:00:00,PUMP-101,pump,2.046,6.691,3.052,3.039,48.677,44.547,4.996,100.513,1477.77,0.0,normal,0
2025-01-01 01:00:00,PUMP-101,pump,1.844,5.386,2.942,3.01,49.514,44.5,5.044,96.571,1484.901,0.0,normal,0
2025-01-01 02:00:00,PUMP-101,pump,2.113,6.346,3.127,2.985,50.42,46.06,4.97,98.572,1481.406,0.0,normal,0
2025-01-01 03:00:00,PUMP-101,pump,2.141,5.869,2.937,3.159,49.898,45.264,4.959,101.544,1476.512,0.0,normal,0
2025-01-01 04:00:00,PUMP-101,pump,1.707,5.975,2.936,2.938,49.349,44.831,5.009,99.441,1475.67,0.0,normal,0
2025-01-01 05:00:00,PUMP-101,pump,1.805,5.579,3.054,3.206,49.326,45.399,4.808,98.976,1471.763,0.0,normal,0
2025-01-01 06:00:00,PUMP-101,pump,2.019,5.866,3.076,2.977,49.288,43.314,5.048,102.802,1481.454,0.0,normal,0
2025-01-01 07:00:00,PUMP-101,pump,1.953,6.52,3.045,2.872,49.12,44.965,5.0,97.905,1478.227,0.0,normal,0
2025-01-01 08:00:00,PUMP-101,pump,1.997,6.233,2.831,3.007,52.282,46.598,5.004,98.404,1468.139,0.0,normal,0
2025-01-01 09:00:00,PUMP-101,pump,1.872,6.693,3.054,2.892,50.298,45.106,5.096,100.423,1477.321,0.0,normal,0
2025-01-01 10:00:00,PUMP-101,pump,2.132,6.471,2.897,2.925,50.887,45.054,4.805,100.781,1475.495,0.0,normal,0
2025-01-01 11:00:00,PUMP-101,pump,2.117,6.176,3.024,3.04,49.511,45.439,4.803,100.993,1487.878,0.0,normal,0
2025-01-01 12:00:00,PUMP-101,pump,2.01,6.698,2.858,3.056,49.814,45.716,5.027,101.822,1471.486,0.0,normal,0
2025-01-01 13:00:00,PUMP-101,pump,2.169,6.176,3.045,2.938,49.286,43.402,4.999,100.397,1472.793,0.0,normal,0
2025-01-01 14:00:00,PUMP-101,pump,2.07,6.331,2.919,3.099,47.348,43.654,5.017,100.979,1485.55,0.0,normal,0
2025-01-01 15:00:00,PUMP-101,pump,1.871,5.881,2.872,3.116,48.622,45.168,4.954,99.482,1486.784,0.0,normal,0
2025-01-01 16:00:00,PUMP-101,pump,2.055,6.027,3.071,3.144,48.189,44.428,5.066,100.125,1476.275,0.0,normal,0
2025-01-01 17:00:00,PUMP-101,pump,1.856,5.721,3.024,3.053,47.75,46.05,5.093,100.215,1476.84,0.0,normal,0
2025-01-01 18:00:00,PUMP-101,pump,2.132,6.396,2.939,3.136,48.805,44.748,5.048,100.43,1483.081,0.0,normal,0
2025-01-01 19:00:00,PUMP-101,pump,1.993,5.529,3.145,2.812,51.325,43.452,4.974,101.545,1468.365,0.0,normal,0
2025-01-01 20:00:00,PUMP-101,pump,1.972,6.313,2.956,2.968,49.956,43.986,4.789,101.11,1470.694,0.0,normal,0
2025-01-01 21:00:00,PUMP-101,pump,1.898,5.924,3.003,2.913,51.291,42.8,5.077,100.088,1478.596,0.0,normal,0
2025-01-01 22:00:00,PUMP-101,pump,2.183,6.468,3.027,3.012,50.411,44.813,5.122,98.382,1487.749,0.0,normal,0
2025-01-01 23:00:00,PUMP-101,pump,1.977,6.3,2.938,2.943,50.783,44.849,5.064,100.135,1477.821,0.0,normal,0
2025-01-02 00:00:00,PUMP-101,pump,1.936,6.728,3.047,2.983,49.099,44.66,4.912,99.944,1480.505,0.0,normal,0
2025-01-02 01:00:00,PUMP-101,pump,1.947,6.292,2.947,3.188,50.524,45.863,5.067,100.386,1485.669,0.0,normal,0
2025-01-02 02:00:00,PUMP-101,pump,2.08,5.371,2.959,2.983,50.729,45.959,5.086,104.413,1490.534,0.0,normal,0
2025-01-02 03:00:00,PUMP-101,pump,2.055,5.973,3.136,3.041,49.423,44.864,5.156,98.952,1477.116,0.0,normal,0
2025-01-02 04:00:00,PUMP-101,pump,2.062,5.531,2.896,2.977,50.56,43.292,4.912,100.845,1479.916,0.0,normal,0
2025-01-02 05:00:00,PUMP-101,pump,2.065,5.793,2.759,3.008,50.566,45.494,4.977,102.137,1489.11,0.0,normal,0
2025-01-02 06:00:00,PUMP-101,pump,2.321,6.604,3.161,3.001,49.45,45.444,5.075,100.196,1472.389,0.0,normal,0
2025-01-02 07:00:00,PUMP-101,pump,1.939,6.255,3.255,3.045,48.877,45.248,5.006,104.676,1485.138,0.0,normal,0
2025-01-02 08:00:00,PUMP-101,pump,1.923,5.72,2.959,3.117,48.816,45.785,4.888,99.244,1474.908,0.0,normal,0
2025-01-02 09:00:00,PUMP-101,pump,1.878,5.595,2.806,3.165,50.087,44.068,5.041,100.648,1480.512,0.0,normal,0
2025-01-02 10:00:00,PUMP-101,pump,2.092,6.013,2.969,3.031,50.327,46.607,5.058,98.402,1478.787,0.0,normal,0
2025-01-02 11:00:00,PUMP-101,pump,2.169,5.513,2.971,3.059,49.207,44.232,5.009,99.297,1475.21,0.0,normal,0
2025-01-02 12:00:00,PUMP-101,pump,1.983,5.732,2.981,2.885,50.027,45.599,5.022,100.498,1475.084,0.0,normal,0
2025-01-02 13:00:00,PUMP-101,pump,1.874,6.125,2.889,2.991,50.571,43.65,4.974,101.693,1481.382,0.0,normal,0
2025-01-02 14:00:00,PUMP-101,pump,1.876,6.462,3.058,3.094,50.618,44.256,5.148,100.638,1484.978,0.0,normal,0
2025-01-02 15:00:00,PUMP-101,pump,2.098,6.244,3.052,3.087,51.552,46.213,4.91,102.518,1479.351,0.0,normal,0
2025-01-02 16:00:00,PUMP-101,pump,2.111,5.083,2.851,3.021,51.277,44.791,4.941,99.81,1480.351,0.0,normal,0
2025-01-02 17:00:00,PUMP-101,pump,2.081,6.122,3.07,3.089,48.999,45.672,5.001,99.336,1482.856,0.0,normal,0
2025-01-02 18:00:00,PUMP-101,pump,1.9,6.029,3.205,3.049,51.684,45.19,5.088,105.408,1475.142,0.0,normal,0
2025-01-02 19:00:00,PUMP-101,pump,2.035,6.166,3.017,3.12,49.469,44.916,4.85,100.788,1483.698,0.0,normal,0
2025-01-02 20:00:00,PUMP-101,pump,2.018,6.646,2.966,3.029,51.045,46.091,4.869,98.561,1484.097,0.0,normal,0
